id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10590369,1020,270000,2347.83,2.0,2.0,2.0,115.0,0.0,1.0,,715.0,1,0,0.0,0,0.0,0.0,0.0
10590583,1200,285000,3750.0,4.0,,2.0,76.0,0.0,3.0,,281.0,5,1,15.0,0,0.0,0.0,0.0
10590366,1060,300000,3409.09,3.0,3.0,1.0,88.0,0.0,2.0,,496.0,3,0,0.0,0,0.0,0.0,0.0
10592481,1160,315000,4632.35,4.0,,2.0,68.0,0.0,3.0,,136.0,6,0,0.0,0,0.0,0.0,0.0
10590368,1200,330000,3333.33,2.0,2.0,2.0,99.0,0.0,2.0,,165.0,6,1,6.0,0,0.0,0.0,0.0
10590370,1200,345000,3484.85,2.0,2.0,2.0,99.0,0.0,2.0,,282.0,5,1,15.0,1,100.0,0.0,0.0
10592445,2550,366000,3327.27,3.0,3.0,2.0,110.0,0.0,3.0,,85.0,7,1,,0,0.0,0.0,0.0
10590667,9000,435000,4350.0,4.0,2.0,2.0,100.0,0.0,3.0,,182.0,6,1,2.0,0,0.0,0.0,0.0
10591099,1050,440000,4583.33,4.0,2.0,1.0,96.0,0.0,3.0,,340.0,4,1,,0,0.0,0.0,0.0
10591087,1180,449000,4317.31,3.0,2.0,3.0,104.0,0.0,3.0,,314.0,4,0,0.0,0,0.0,0.0,0.0
10578160,1200,540000,4500.0,4.0,3.0,2.0,120.0,0.0,3.0,,73.0,7,1,10.0,0,0.0,0.0,0.0
10591022,8300,595000,6329.79,3.0,2.0,2.0,94.0,0.0,3.0,,100.0,6,1,,0,0.0,0.0,0.0
10591744,1050,750000,4054.05,4.0,,3.0,185.0,1.0,3.0,,178.0,6,0,0.0,0,0.0,0.0,0.0
10594529,1730,195000,2166.67,3.0,2.0,2.0,90.0,0.0,2.0,,315.0,4,1,,0,0.0,0.0,0.0
10594528,9400,199000,2211.11,3.0,2.0,3.0,90.0,0.0,2.0,,418.0,3,0,0.0,0,0.0,0.0,0.0
10550578,1040,195000,4756.1,3.0,,1.0,41.0,0.0,1.0,,308.0,4,0,0.0,0,0.0,0.0,0.0
10177393,1000,675000,6887.76,4.0,,1.0,98.0,0.0,3.0,,57.0,7,1,9.0,0,0.0,0.0,0.0
10454955,1050,1839000,9059.11,4.0,2.0,3.0,203.0,0.0,3.0,,63.0,7,1,76.0,0,0.0,0.0,0.0
