,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
103,10589751,1050,635000,5162.6,123.0,3.0,0.0,0.0,8.0,0.0,3.0,3.0,125.0,6.0
104,10576343,1930,299000,3833.33,78.0,2.0,0.0,0.0,6.0,0.0,4.0,1.0,345.0,4.0
105,10595019,3001,163000,6037.04,27.0,1.0,0.0,0.0,10.0,0.0,2.0,2.0,82.0,7.0
106,10595120,1070,229000,2602.27,88.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,445.0,3.0
107,10582157,1050,499000,6160.49,81.0,1.0,0.0,0.0,9.0,0.0,4.0,2.0,45.0,7.0
108,10582154,1050,1410000,7663.04,184.0,3.0,0.0,0.0,23.0,0.0,4.0,2.0,45.0,7.0
109,10579542,1030,210000,4200.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,178.0,6.0
110,10581233,1000,275000,3197.67,86.0,2.0,0.0,0.0,7.0,0.0,3.0,1.0,609.0,1.0
111,10581234,1000,285000,3313.95,86.0,2.0,0.0,0.0,7.0,0.0,3.0,1.0,215.0,5.0
112,10580987,1000,289000,3612.5,80.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,138.0,6.0
113,10581324,9300,508000,2208.7,230.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,189.0,6.0
114,10581323,9300,508000,2208.7,230.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,189.0,6.0
115,10581301,1180,525000,3723.4,141.0,2.0,0.0,0.0,8.0,0.0,4.0,3.0,230.0,5.0
116,10585642,9052,354000,2269.23,156.0,4.0,0.0,0.0,26.0,0.0,3.0,3.0,228.0,5.0
117,10587177,2600,369000,2882.81,128.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,154.0,6.0
118,10587178,2610,369000,2882.81,128.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,154.0,6.0
119,10585204,8790,415000,3458.33,120.0,2.0,0.0,0.0,25.0,0.0,4.0,3.0,204.0,5.0
120,10585257,1200,425000,3899.08,109.0,3.0,0.0,0.0,6.0,0.0,4.0,3.0,106.0,6.0
121,10586370,1000,479000,3801.59,126.0,3.0,0.0,0.0,27.0,0.0,3.0,3.0,240.0,5.0
122,10572751,1020,199000,2726.03,73.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,270.0,5.0
123,10572614,1932,260000,2921.35,89.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,262.0,5.0
124,10575053,1180,265000,4416.67,60.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,199.0,6.0
125,10574976,2100,274000,3512.82,78.0,2.0,0.0,34.0,4.0,0.0,3.0,1.0,183.0,6.0
126,10574974,2140,274000,3512.82,78.0,2.0,0.0,34.0,4.0,0.0,3.0,1.0,183.0,6.0
127,10575091,1082,340000,2677.17,127.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,209.0,5.0
128,10590371,1200,330000,3333.33,99.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,165.0,6.0
129,10594530,1785,239000,3414.29,70.0,2.0,0.0,0.0,13.0,0.0,3.0,1.0,141.0,6.0
130,10566161,7333,183000,2506.85,73.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,104.0,6.0
131,10550931,7333,215000,2415.73,89.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,57.0,7.0
132,10566160,7333,220000,2471.91,89.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,70.0,7.0
133,10209483,7333,240000,2474.23,97.0,2.0,0.0,0.0,30.0,0.0,4.0,0.0,91.0,7.0
134,10566159,7333,244000,2121.74,115.0,2.0,0.0,0.0,7.0,0.0,4.0,0.0,60.0,7.0
135,10558626,1000,279000,3770.27,74.0,1.0,0.0,0.0,8.0,0.0,4.0,1.0,40.0,7.0
136,10579090,1150,285000,4071.43,70.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,119.0,6.0
137,10445346,1300,299000,3646.34,82.0,1.0,0.0,0.0,19.0,0.0,4.0,3.0,62.0,7.0
138,10442278,1300,299000,3646.34,82.0,1.0,0.0,0.0,18.0,0.0,4.0,3.0,93.0,7.0
139,10558634,1000,321000,3489.13,92.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,33.0,7.0
140,10558643,1000,326000,4024.69,81.0,2.0,0.0,0.0,6.0,0.0,4.0,1.0,45.0,7.0
141,10201117,5100,336000,3463.92,97.0,3.0,0.0,0.0,11.0,0.0,4.0,0.0,92.0,7.0
142,10384516,4367,349000,2281.05,153.0,3.0,0.0,500.0,11.0,0.0,4.0,3.0,93.0,7.0
143,10428210,1300,355000,3622.45,98.0,2.0,0.0,0.0,15.0,0.0,4.0,0.0,97.0,7.0
144,10558627,1000,360000,3636.36,99.0,2.0,0.0,0.0,10.0,0.0,4.0,1.0,44.0,7.0
145,10558628,1000,361000,3923.91,92.0,2.0,0.0,0.0,8.0,0.0,4.0,3.0,44.0,7.0
146,10516377,1000,365000,5140.85,71.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,46.0,7.0
147,10428209,1300,365000,3613.86,101.0,2.0,0.0,0.0,12.0,0.0,4.0,0.0,109.0,6.0
148,10467826,1000,370000,5441.18,68.0,1.0,0.0,0.0,8.0,0.0,4.0,3.0,45.0,7.0
149,10428208,1140,380000,3958.33,96.0,2.0,0.0,0.0,25.0,0.0,4.0,0.0,41.0,7.0
150,10428206,1140,395000,3590.91,110.0,2.0,0.0,0.0,18.0,0.0,4.0,0.0,34.0,7.0
151,10233049,1050,415000,6384.62,65.0,1.0,0.0,0.0,6.0,0.0,4.0,3.0,101.0,6.0
152,10428214,1300,415000,3577.59,116.0,2.0,0.0,0.0,17.0,0.0,4.0,0.0,112.0,6.0
153,10560964,1130,450000,3040.54,148.0,3.0,0.0,0.0,33.0,0.0,4.0,3.0,82.0,7.0
154,10579282,8300,460000,6388.89,72.0,2.0,0.0,0.0,3.0,0.0,2.0,3.0,159.0,6.0
155,10514363,1180,470000,4086.96,115.0,3.0,0.0,0.0,7.0,0.0,4.0,1.0,145.0,6.0
156,10558630,1000,484000,3841.27,126.0,3.0,0.0,0.0,13.0,0.0,4.0,3.0,44.0,7.0
157,10428203,1180,485000,4490.74,108.0,2.0,0.0,0.0,17.0,0.0,4.0,3.0,86.0,7.0
158,10457573,1090,489000,3134.62,156.0,3.0,0.0,0.0,6.0,0.0,4.0,3.0,36.0,7.0
159,9910182,1000,515000,3901.52,132.0,3.0,0.0,0.0,15.0,0.0,4.0,3.0,20.0,7.0
160,9908113,1000,525000,3977.27,132.0,3.0,0.0,0.0,15.0,0.0,4.0,3.0,20.0,7.0
161,9910183,1000,540000,4090.91,132.0,3.0,0.0,0.0,15.0,0.0,4.0,3.0,20.0,7.0
162,10547099,1030,540000,3802.82,142.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,165.0,6.0
163,10456504,1200,540000,4500.0,120.0,3.0,0.0,0.0,9.0,0.0,4.0,3.0,55.0,7.0
164,10456502,1200,545000,4541.67,120.0,2.0,0.0,0.0,12.0,0.0,4.0,3.0,55.0,7.0
165,10560966,1140,595000,4250.0,140.0,3.0,0.0,0.0,13.0,0.0,4.0,3.0,41.0,7.0
