,id,Price,Type of property,Subtype of property,Locality,Surroundings type,Energy class,Heating type,Province,Zip,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Kitchen values,Building Cond. values,Parking,Urban_value,Normal_apt,Big_apt
4159,10259291,445000.0,apartment,apartment,ottignies-louvain-la-neuve,Urban,Not specified,Gas,Walloon Brabant,1340.0,165.0,2.0,1.0,1982.2,2.4,0.0,0.0,0.0,1.0,6.0,1.0,300.0,19632000732634.8,1.0,3.0,0.0,0,1,0
4160,10545461,495000.0,apartment,apartment,etterbeek,,Not specified,Gas,Brussels Capital Region,1040.0,5.0,3.0,1.0,1980.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,19632000732653.4,2.4,3.0,0.0,1,1,0
4161,10564814,495000.0,apartment,apartment,ixelles,,D,Gas,Brussels Capital Region,1050.0,105.0,2.0,1.0,1900.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.0,4.0,0.0,1,1,0
4162,10531902,495000.0,apartment,duplex,uccle,,F,Gas,Brussels Capital Region,1180.0,140.0,1.0,1.0,1930.0,2.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,289.0,2.8,3.6,0.0,1,0,1
4163,10530220,498000.0,apartment,apartment,bruxelles,,B,,Brussels Capital Region,1000.0,85.0,2.0,1.0,2013.0,2.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,76.0,3.0,4.0,2.0,1,1,0
4164,10507695,499000.0,apartment,apartment,sint-antonius,,Not specified,,Antwerp,2980.0,120.0,2.0,2.0,2020.0,2.4,0.0,0.0,0.0,1.0,31.0,0.0,0.0,19632000732585.6,1.0,3.8,2.0,1,1,0
4165,10471216,530000.0,apartment,apartment,uccle,,E,Electric,Brussels Capital Region,1180.0,130.0,2.0,2.0,1976.0,2.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,232.0,1.0,4.0,2.0,1,1,0
4166,9481452,575000.0,apartment,apartment,antwerp,Urban,Not specified,Gas,Antwerp,2000.0,149.0,1.0,1.0,2021.0,3.6,0.0,0.0,0.0,1.0,18.0,0.0,0.0,19632000732554.2,3.0,4.0,26.0,1,1,0
4167,10481201,620000.0,apartment,apartment,woluwe-saint-pierre,,Not specified,Gas,Brussels Capital Region,1150.0,150.0,3.0,2.0,1932.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19632000732589.2,1.6,3.4,0.0,1,1,0
4168,10463246,635000.0,apartment,apartment,de haan,,A,,West Flanders,8420.0,146.0,3.0,2.0,2023.0,2.0,0.0,0.0,0.0,1.0,13.0,1.0,2100.0,1.0,1.0,4.0,5.0,0,1,0
4169,10345260,660000.0,apartment,loft,gent,,Not specified,,East Flanders,9000.0,201.0,2.0,1.0,1879.0,2.2,0.0,0.0,0.0,1.0,11.0,0.0,0.0,19632000734845.8,1.0,3.2,0.0,1,1,0
4170,10487353,675000.0,apartment,apartment,uccle,,F,Gas,Brussels Capital Region,1180.0,172.0,3.0,2.0,1960.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,294.0,3.0,3.0,1.0,1,1,0
4171,10542514,699500.0,apartment,penthouse,kortrijk,,Not specified,Gas,West Flanders,8500.0,235.0,3.0,2.0,1998.0,2.2,0.0,0.0,0.0,1.0,7.8,0.0,0.0,19632000734829.4,3.0,3.8,2.0,1,0,1
4172,10505689,865000.0,apartment,penthouse,turnhout,,Not specified,,Antwerp,2300.0,237.0,2.0,2.0,2022.0,3.0,0.0,0.0,0.0,1.0,102.0,1.0,117.8,19632000732508.8,1.8,3.4,0.0,1,0,1
4173,10557345,1230000.0,apartment,penthouse,woluwe-saint-pierre,,Not specified,Gas,Brussels Capital Region,1150.0,210.0,3.0,3.0,2015.0,2.2,0.0,0.0,0.0,1.0,54.0,0.0,0.0,19632000732673.0,3.0,4.0,3.0,1,0,1
4174,10586868,139000.0,apartment,apartment,willebroek,,C,Electric,Antwerp,2830.0,62.0,1.0,1.0,1988.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,1.0,3.0,0.0,0,1,0
4175,10585308,229500.0,apartment,apartment,sijsele,Urban,B,Gas,West Flanders,8340.0,86.0,1.0,1.0,2013.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,170.0,3.0,3.8,0.0,0,1,0
4176,10585422,230000.0,apartment,apartment,lint,Isolated,D,Electric,Antwerp,2547.0,100.0,2.0,1.0,1988.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,397.0,1.0,3.4,1.0,1,1,0
4177,10585421,235000.0,apartment,apartment,lint,Isolated,C,Electric,Antwerp,2547.0,100.0,2.0,1.0,1988.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,298.0,1.0,3.4,1.0,1,1,0
4178,10585179,260000.0,apartment,apartment,ottignies,Urban,B,Gas,Walloon Brabant,1340.0,56.0,1.0,1.0,2004.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,1.0,4.0,1.0,0,1,0
4179,10585454,285000.0,apartment,apartment,gent zwijnaarde,Isolated,B,Gas,East Flanders,9052.0,97.0,2.0,1.0,2007.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,3.0,3.0,2.0,0,1,0
4180,10585739,290000.0,apartment,apartment,uccle,,G,,Brussels Capital Region,1180.0,90.0,2.0,1.0,1966.8,2.4,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1234.0,1.0,3.0,0.0,1,1,0
