,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
203,10201117,5100,336000,3463.92,97,3,0,0,11,0,4,0,92,7
204,10564958,1030,340000,3269.23,104,3,0,0,0,0,3,1,245,5
205,10384516,4367,349000,2281.05,153,3,0,500,11,0,4,3,93,7
206,10428210,1300,355000,3622.45,98,2,0,0,15,0,4,0,97,7
207,10516377,1000,365000,5140.85,71,1,0,0,0,0,4,3,46,7
208,10428209,1300,365000,3613.86,101,2,0,0,12,0,4,0,109,6
209,10565038,2550,366000,3327.27,110,2,0,0,4,0,3,3,85,7
210,10467826,1000,370000,5441.18,68,1,0,0,8,0,4,3,45,7
211,10428208,1140,380000,3958.33,96,2,0,0,25,0,4,0,41,7
212,10428206,1140,395000,3590.91,110,2,0,0,18,0,4,0,34,7
213,10428207,1140,409000,4216.49,97,2,0,0,44,0,4,0,38,7
214,10233049,1050,415000,6384.62,65,1,0,0,6,0,4,3,101,6
215,10428214,1300,415000,3577.59,116,2,0,0,17,0,4,0,112,6
216,10514363,1180,470000,4086.96,115,3,0,0,7,0,4,1,145,6
217,10428203,1180,485000,4490.74,108,2,0,0,17,0,4,3,86,7
218,10457573,1090,489000,3134.62,156,3,0,0,6,0,4,3,36,7
219,9910182,1000,515000,3901.52,132,3,0,0,15,0,4,3,20,7
220,9908113,1000,525000,3977.27,132,3,0,0,15,0,4,3,20,7
221,10407282,1410,530000,4529.91,117,2,0,0,15,0,4,3,236,7
222,9910183,1000,540000,4090.91,132,3,0,0,15,0,4,3,20,7
223,10547099,1030,540000,3802.82,142,2,0,0,0,0,4,3,165,6
224,10456504,1200,540000,4500.0,120,3,0,0,9,0,4,3,55,7
225,10456502,1200,545000,4541.67,120,2,0,0,12,0,4,3,55,7
226,10564560,1180,595000,4685.04,127,3,0,0,7,0,1,3,156,6
227,10467828,1000,600000,5128.21,117,3,0,0,7,0,4,3,45,7
228,10407280,1410,605000,4481.48,135,3,0,0,15,0,4,3,236,7
229,10194191,1050,636000,6424.24,99,2,0,0,7,0,4,3,83,7
230,10394965,1150,650000,5701.75,114,2,0,0,4,0,4,3,140,6
231,10227791,1340,695000,4371.07,159,3,0,0,54,0,4,0,85,7
232,10457770,1200,805000,4707.6,171,3,0,0,16,0,4,3,55,7
233,10233050,1050,880000,7394.96,119,3,0,0,28,0,4,3,125,6
234,10514865,1000,990000,4562.21,217,2,0,0,36,0,4,3,199,7
235,10457771,1050,1195000,7810.46,153,3,0,0,9,0,4,3,55,7
236,10457774,1180,1340000,7486.03,179,3,0,0,36,0,4,3,88,7
237,10477061,1050,1750000,7675.44,228,3,0,0,67,0,4,3,95,7
238,10463775,1180,1750000,7446.81,235,3,0,0,237,0,4,3,62,7
239,10566912,9400,199000,2211.11,90,3,0,0,0,0,3,2,418,3
240,10572659,1200,805000,4735.29,170,3,0,0,16,0,4,3,73,7
241,10571535,1050,990000,5657.14,175,3,0,0,18,0,4,3,260,5
242,10576321,4031,209000,2154.64,97,2,0,0,29,0,3,1,618,1
243,10576702,2140,259500,2675.26,97,3,0,0,8,0,3,1,117,6
244,10577538,2600,269000,2690.0,100,2,0,0,8,0,2,2,197,6
245,10563230,1180,285000,4191.18,68,1,0,0,13,0,4,3,45,7
246,10575959,6700,320000,3232.32,99,2,0,0,0,0,3,1,108,6
247,10563231,1180,380000,4367.82,87,2,0,0,43,0,4,3,45,7
248,10576486,9000,440000,3963.96,111,3,0,0,11,0,3,1,92,7
249,10561283,3000,245000,4152.54,59,1,0,0,10,0,3,1,154,6
250,10562393,1070,250000,2777.78,90,3,0,0,20,0,4,1,215,5
251,10560748,9800,625000,2540.65,246,3,0,0,27,0,3,3,186,6
252,10578994,9810,366000,4463.41,82,2,0,0,13,0,4,3,187,5
253,10578993,9810,601000,4116.44,146,3,0,0,15,0,4,3,187,5
